layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
0,0.0156660508364439,0.0822172611951828,0.021649397909641266,0.22117555330463973,-0.32340243458747864,0.17243024706840515,108.86881503385797,80.0708510809906,0.5530984351511483,1.0454041569368209,0.5530989094732754,1.0454041526313218,0.007001183461397886,0.0037330046761780977,0.008019731380045414,0.020109212026000023,0.8627583974814583,-0.5984990607587461,-0.6799034705548285
1,0.29529502987861633,1.5623576641082764,0.353013813495636,0.19003219102149613,-0.16766449809074402,0.2147148698568344,99.65205571021094,77.60120011068548,0.7995635774737031,1.0485146946113053,0.7995636201953313,1.0485146976636193,0.0591878741979599,0.07579730451107025,0.10763731598854065,0.3362037241458893,0.9070299034029891,-0.5984427483516933,-0.6820772427000436
2,0.40972304344177246,2.36976957321167,0.49963119626045227,0.17975625891910244,-0.19056780636310577,0.2760074734687805,100.98592257536954,73.9779380050581,0.7676146966137335,1.0581921293828558,0.7676147188048582,1.0581921293828558,0.09521361440420151,0.1379019170999527,0.18656592071056366,0.46349161863327026,0.8605669407698514,-0.6283984448222836,-0.7051814100798057
3,0.5788107514381409,3.0905628204345703,0.6321667432785034,0.172281924740917,-0.2686498463153839,0.24419763684272766,105.58394063114925,75.86557847099982,0.7065854671967037,1.04995000695916,0.7065854449576181,1.0499499975987212,0.16983148455619812,0.15437361598014832,0.25342628359794617,0.5791458487510681,0.8392910553043642,-0.636497026296995,-0.6845179464431979
4,0.7710360288619995,4.192334175109863,0.8712307810783386,0.17553209684537097,-0.2594183087348938,0.22221575677394867,105.03554945171105,77.1607915357853,0.7068707356264293,1.046179813896139,0.706870685496077,1.046179813896139,0.22601322829723358,0.19360119104385376,0.3279789984226227,0.8071386814117432,0.8582817824848435,-0.6334503118504199,-0.689309481008877
5,1.0239624977111816,5.140714168548584,1.0402581691741943,0.16874496811491177,-0.2789868116378784,0.21705564856529236,106.19974377535043,77.46384431017854,0.716573304308018,1.0439226679516729,0.716573304308018,1.0439226679516729,0.2902182936668396,0.22579383850097656,0.4101109206676483,0.9560050368309021,0.8445747373615983,-0.6300750603383019,-0.6677968508374585
6,1.113480806350708,5.5223588943481445,1.1335312128067017,0.17081955897444726,-0.3043268024921417,0.22493219375610352,107.71766732547303,77.00110905466252,0.6901931951884885,1.046170061879544,0.6901932192257305,1.0461700657885007,0.3449639081954956,0.25496765971183777,0.47382089495658875,1.029750943183899,0.8252726010234044,-0.6322238494240252,-0.6644039458772756
7,1.3615896701812744,6.798133373260498,1.3496977090835571,0.16540974494400937,-0.2685377895832062,0.2160188853740692,105.57727532691565,77.52469007371013,0.733807568769739,1.042888269451439,0.7338075205440029,1.0428882513951383,0.3624449074268341,0.29156017303466797,0.5337651371955872,1.2396687269210815,0.8436032942313896,-0.6294816307199347,-0.6662657136121903
8,1.851043939590454,8.869263648986816,1.7949367761611938,0.16743332778990466,-0.2338694930076599,0.1951836496591568,103.52499263204406,78.74454790892645,0.7732193703915806,1.0395007245625016,0.773219335599801,1.039500721531648,0.4197809398174286,0.350342333316803,0.6308853030204773,1.6804112195968628,0.8764614763321604,-0.6123035250387335,-0.6546658894682998
9,2.1930253505706787,9.753104209899902,2.021939992904663,0.16925481855668628,-0.23819959163665771,0.17322301864624023,103.78030313358533,80.02473466631724,0.7803831622482625,1.0359112867609366,0.7803831622482625,1.0359112867609366,0.4816253185272217,0.35024648904800415,0.6956208348274231,1.8985131978988647,0.8816388413776227,-0.5962298472885724,-0.6328475524003058
10,2.4144482612609863,10.699195861816406,2.1434030532836914,0.16344831623707456,-0.2191651463508606,0.156942218542099,102.6600027663595,80.9705440296778,0.8054382640443363,1.0314407202012263,0.8054382844934407,1.0314407139529667,0.4697592258453369,0.3363903760910034,0.688905656337738,2.0296761989593506,0.8966972275016811,-0.5947140591675806,-0.6317654739202709
11,2.710639476776123,11.255471229553223,2.2958571910858154,0.1643877266704947,-0.19374291598796844,0.14987385272979736,101.17129759773243,81.38038378683996,0.8359036450311935,1.0305708191095144,0.8359035963582248,1.0305708172275443,0.4448060691356659,0.34408894181251526,0.6695573925971985,2.196053981781006,0.9149477249793329,-0.5744285959628663,-0.6118261501955858
12,2.7827329635620117,11.730745315551758,2.3548614978790283,0.1622534206459217,-0.19175955653190613,0.16526558995246887,101.05548774375072,80.48733652857109,0.8377252654695709,1.0331758635643786,0.8377252808641222,1.0331758704946283,0.4515672028064728,0.3891775608062744,0.7308720350265503,2.2385706901550293,0.9036721281340485,-0.5797694273298238,-0.6165312114533872
13,2.9345290660858154,12.060962677001953,2.4547410011291504,0.16369859965570566,-0.15572580695152283,0.18550482392311096,98.9588930914562,79.30943385211044,0.8697349880077201,1.0377553929876606,0.8697350156939144,1.0377553897096816,0.38226640224456787,0.4553664028644562,0.7374469041824341,2.34135103225708,0.9097492544187272,-0.5671677914692629,-0.6086118255532957
14,3.1925432682037354,12.657646179199219,2.635793447494507,0.1662941288227592,-0.1004379540681839,0.22050923109054565,95.76439036915103,77.26105566257866,0.9170774978042483,1.0459182324457643,0.9170774978042483,1.045918241374407,0.2647336721420288,0.5812167525291443,0.7730827927589417,2.519871473312378,0.9139743998641228,-0.5486447364880097,-0.5971602381430673
15,3.7146589756011963,13.998466491699219,3.025970220565796,0.1708320885799411,-0.1354473978281021,0.03846142441034317,97.78449152466595,87.79577903551879,0.8896642243417481,1.0083139918705954,0.8896642070634009,1.0083139900455635,0.4098598062992096,0.1163831278681755,0.4715847969055176,2.988997220993042,0.9757121715719063,-0.5277510814257969,-0.5805755471713248
16,4.179839134216309,15.975505828857422,3.340848684310913,0.1657549741160013,-0.2463809847831726,-0.014166053384542465,104.26346032790136,90.81168222050313,0.8030733715823855,0.9970375513667231,0.8030733442894056,0.9970375516002683,0.8231217265129089,0.04732661321759224,0.8523925542831421,3.230278253555298,0.9349023587924686,-0.5545218649815515,-0.5852376483954692
17,4.274536609649658,16.380401611328125,3.5019733905792236,0.16954654385395582,-0.23071837425231934,0.018364543095231056,103.33936912058914,88.94773003483333,0.8109807798656434,1.0039261625104121,0.8109808059627289,1.0039261629546965,0.8079695105552673,0.06431211531162262,0.877437949180603,3.390268087387085,0.9372218377119624,-0.5514601768661892,-0.5861002761810432
18,4.589540004730225,17.90772247314453,3.8178110122680664,0.16970113649719534,-0.25378045439720154,0.014478945173323154,104.70133336522522,89.17038856144195,0.7888926121111185,1.0030868161769064,0.7888925668357736,1.0030868184072956,0.9688858985900879,0.055277854204177856,1.0551115274429321,3.6691174507141113,0.9236222257337505,-0.5605282948534818,-0.5919912467391242
19,5.55864143371582,21.12957763671875,4.821998596191406,0.18067891985068674,-0.24653539061546326,0.0036019515246152878,104.27258870974775,89.7936229333693,0.7861360009740235,1.0008220048826661,0.7861359855416483,1.0008220038146238,1.1887933015823364,0.017368614673614502,1.2891274690628052,4.646485328674316,0.9285279496752334,-0.5444291327567828,-0.5834385635127731
20,7.483745574951172,30.206256866455078,6.53444766998291,0.17337350079527797,-0.42025116086006165,-0.10683872550725937,114.85044533751582,96.13311376936079,0.6330568266166101,0.9768878316211956,0.633056860672486,0.9768878337116287,2.7461094856262207,0.6981322169303894,2.7527947425842285,5.926307201385498,0.8225277363048744,-0.5984789274756838,-0.6028790080552544
21,8.882067680358887,37.17141342163086,8.01445484161377,0.17402495203619373,-0.42528966069221497,-0.1271105408668518,115.16899936516688,97.30265323874252,0.6162532198166306,0.9725939509345612,0.6162531956396576,0.9725939509345612,3.4084646701812744,1.018721580505371,3.4131860733032227,7.251321792602539,0.818627602628843,-0.6057976141996669,-0.6142716046259316
22,10.355809211730957,43.81551742553711,9.764792442321777,0.1802575836088413,-0.38870126008987427,-0.12692198157310486,112.87371212137121,97.29176136978174,0.6334822763981789,0.971713967698071,0.6334822763981789,0.9717139736591577,3.7955877780914307,1.239367127418518,3.795797824859619,8.996838569641113,0.848894701721076,-0.5936147941464335,-0.6176645521656903
23,12.445298194885254,52.405025482177734,11.703843116760254,0.18047470623643252,-0.34831762313842773,-0.11141617596149445,110.38444790732346,96.3969583429739,0.6724341463774806,0.9751169382541502,0.6724341956357851,0.9751169438103032,4.076654434204102,1.30399751663208,4.076766490936279,10.970868110656738,0.878668393635152,-0.5831706347256028,-0.6161839296303168
24,14.92845344543457,64.05697631835938,14.059614181518555,0.178002629368275,-0.37970179319381714,-0.1396925449371338,112.31521226861588,98.0300555445523,0.6423969377028641,0.9693394333206419,0.6423968692344241,0.9693394296019756,5.338461399078369,1.964023232460022,5.34117317199707,13.005560874938965,0.8556799703788309,-0.5949621037651173,-0.6219947528756099
25,17.590679168701172,74.81349182128906,16.47446632385254,0.1782870420844345,-0.3461308479309082,-0.12075786292552948,110.2508422160905,96.93584300724106,0.6758327813334797,0.9734082518999334,0.6758329046141146,0.9734082573523648,5.702320098876953,1.9894213676452637,5.702476978302002,15.456056594848633,0.8801864708104393,-0.5857244713433833,-0.6192665551059805
26,19.956512451171875,85.58148956298828,18.92142677307129,0.17928543662158514,-0.3257753252983093,-0.08303744345903397,109.01255444688019,94.76317964335843,0.6911216986110955,0.9816410396668311,0.6911216602976883,0.9816410438335134,6.1641340255737305,1.5711870193481445,6.209720611572266,17.873435974121094,0.8922947447349324,-0.5843415513994454,-0.6218137149952232
27,23.52474594116211,97.97285461425781,21.810731887817383,0.17951574176210564,-0.24995464086532593,-0.044288888573646545,104.47482808323157,92.53839670283573,0.7682570897607428,0.9901404002926891,0.7682570897607428,0.9901404002926891,5.451693058013916,0.9659730195999146,5.618935585021973,21.074527740478516,0.9336309157799365,-0.5630233046034833,-0.6127537360954664
28,23.45326042175293,125.98287963867188,19.498756408691406,0.13048220062096239,-0.24747490882873535,-0.018563099205493927,104.32814045784818,91.06364833198013,0.7942523702739621,0.9971269317403769,0.7942523564037335,0.9971269281351859,4.825453281402588,0.36195746064186096,5.021544456481934,18.841060638427734,0.9336774436308406,-0.6546659419635682,-0.6861099274151472
